Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Core Type","Inductance Factor (Al)","Tolerance","Gap","Effective Permeability (µe)","Initial Permeability (µi)","Material","Core Factor (ΣI/A) mm<sup>1</sup>","Effective Length (le) mm","Effective Area (Ae) mm²","Minimum Core Cross Section (Amin) mm²","Effective Magnetic Volume (Ve) mm³","Finish","Supplier Device Package","Height","Length","Width","Diameter"
https://en.tdk.eu/inf/80/db/fer/ep_5.pdf,-,B65855A0000Y038-ND,B65855A0000Y038,EPCOS (TDK),FERRITE CORE EP 2UH T38 2PCS,0,0,"0.46517","0","2000","B65855A","Active","EP","2µH","-30%, +40%","Ungapped","5000","2300","T38","3.14","9.73","3.09","2.3","30","Uncoated","EP 5","2.85mm","6.15mm","3.90mm","-"
https://product.tdk.com/info/en/documents/data_sheet/epx_7_9.pdf,-,B65857A0000Y038-ND,B65857A0000Y038,EPCOS (TDK),FERRITE CORE EPX 9UH T38 2PCS,0,0,"0.47802","0","1500","B65857A","Active","EPX","9µH","-30%, +40%","Ungapped","6540","2300","T38","0.91","15.7","17.2","13.9","270","Uncoated","EPX 7 x 9","3.75mm","9.40mm","9.00mm","-"
https://product.tdk.com/info/en/documents/data_sheet/epx_7_9.pdf,-,B65857A0000Y066-ND,B65857A0000Y066,EPCOS (TDK),FERRITE CORE EPX 10.5UH T66 2PCS,0,0,"0.47802","0","1500","B65857A","Active","EPX","10.5µH","-30%, +40%","Ungapped","7630","13000","T66","0.91","15.7","17.2","13.9","270","Uncoated","EPX 7 x 9","3.75mm","9.40mm","9.00mm","-"
https://product.tdk.com/info/en/documents/data_sheet/epx_9_9.pdf,-,B65857C0000Y038-ND,B65857C0000Y038,EPCOS (TDK),FERRITE CORE EPX 8UH T38 2PCS,0,0,"0.47802","0","1000","B65857C","Active","EPX","8µH","-30%, +40%","Ungapped","6910","2300","T38","1.09","19","17.5","13.9","333","Uncoated","EPX 9 x 9","4.75mm","9.40mm","9.00mm","-"
https://en.tdk.eu/inf/80/db/fer/e_32_16_9.pdf,-,B66229G0000X130-ND,B66229G0000X130,EPCOS (TDK),FERRITE CORE E N30 1PC,0,0,"0.49800","0","480","B66229","Active","E","-","-","Ungapped","-","-","N30","-","-","-","-","-","Uncoated","E 32 x 16 x 9","16.40mm","32.00mm","9.50mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ev_25_13_13.pdf,-,B66408G0000X187-ND,B66408G0000X187,EPCOS (TDK),FERRITE CORE EV N87 1PC,0,0,"0.52051","0","432","B66408","Active","EV","-","-","Ungapped","-","-","N87","-","-","-","-","-","Uncoated","EV 25 x 13 x 13","12.80mm","25.00mm","12.70mm","-"
https://product.tdk.com/info/en/documents/data_sheet/er_14_5_6.pdf,-,B65513J0000R092-ND,B65513J0000R092,EPCOS (TDK),FERRITE CORE ER 1.1UH N92 2PCS,0,0,"0.52080","0","920","B65513","Active","ER","1.1µH","-20%, +30%","Ungapped","970","1500","N92","1.1","19","17.6","-","333","Uncoated","ER 14.5 x 6","2.95mm","14.50mm","6.70mm","-"
https://product.tdk.com/info/en/documents/data_sheet/ep_10.pdf,-,B65841A0000Y066-ND,B65841A0000Y066,EPCOS (TDK),FERRITE CORE EP 6UH T66 2PCS,0,0,"0.52557","0","1000","B65841","Active","EP","6µH","-30%, +40%","Ungapped","8100","13000","T66","1.7","19.2","11.3","8.5","217","Uncoated","EP 10","5.20mm","11.80mm","7.85mm","-"
https://product.tdk.com/info/en/documents/data_sheet/epo_13.pdf,-,B65843P0000Y038-ND,B65843P0000Y038,EPCOS (TDK),FERRITE CORE EPO 6.6UH T38 2PCS,0,0,"0.54484","0","1000","B65843P","Active","EPO","6.6µH","-30%, +40%","Ungapped","7020","2300","T38","1.34","25.8","19.3","14.9","498","Uncoated","EPO 13","6.50mm","12.80mm","7.40mm","-"
https://en.tdk.eu/inf/80/db/fer/e_34_14_9.pdf,-,B66370G0000X187-ND,B66370G0000X187,EPCOS (TDK),FERRITE CORE E N87 1PC,0,0,"0.55720","0","960","B66370","Active","E","-","-","Ungapped","-","-","N87","-","-","-","-","-","Uncoated","E 34 x 14 x 9","14.65mm","34.60mm","9.70mm","-"
